"date" "nazva" "TSP" "SO2" "CO" "NO2" "NO" "H2S" "C6H6O" "NH3" "CH2O"
2015-05-06 "ПСЗ-6" 1.35 0.029 2 0.073 NA 0.0023 0.005 0.03 0.0225
2015-05-06 "ПСЗ-7" NA 0.017 2 0.053 NA 5e-04 0.0012 0.01 0.0115
2015-05-07 "ПСЗ-1" NA 0.008 2 0.095 NA 0.0015 0.0018 0.028 0.025
2015-05-07 "ПСЗ-2" NA 0.012 2 0.06 NA 0.0035 0.003 0.025 0.02
2015-05-07 "ПСЗ-3" NA 0.011 2 0.063 0.03 8e-04 0.0015 0.015 0.0275
2015-05-07 "ПСЗ-6" 1.75 0.015 2 0.04 NA 0.0012 8e-04 0.02 0.0185
2015-05-07 "ПСЗ-7" NA 0.012 2 0.11 NA 0.003 0.0035 0.028 0.013
2015-05-08 "ПСЗ-1" NA 0.006 2 0.045 NA 0.0018 0.002 0.015 0.021
2015-05-08 "ПСЗ-2" NA 0.008 2 0.05 NA 0.002 0.002 0.015 0.0145
2015-05-08 "ПСЗ-3" NA 0.001 2 0.053 0.03 8e-04 0.001 0.015 0.013
2015-05-08 "ПСЗ-6" 1.3 0.003 2 0.057 NA 8e-04 5e-04 0.01 0.014
2015-05-08 "ПСЗ-7" NA 0.003 2 0.05 NA 0.002 0.002 0.025 0.034
2015-05-11 "ПСЗ-1" NA 0.006 2 0.055 NA 0.0017 0.0013 0.023 0.0115
2015-05-11 "ПСЗ-2" NA 0.01 2 0.055 NA 0.0017 0.0013 0.027 0.0155
2015-05-11 "ПСЗ-3" NA 0.018 2 0.055 0.025 0.0013 0.0013 0.017 0.0115
2015-05-11 "ПСЗ-6" 0.85 0.02 2 0.08 NA 0.0027 0.0037 0.033 0.023
2015-05-11 "ПСЗ-7" NA 0.006 1 0.045 NA 0.0013 0.0017 0.017 0.0105
2015-05-12 "ПСЗ-1" NA 0.005 2 0.045 NA 0.0012 0.0012 0.03 0.0175
2015-05-12 "ПСЗ-2" NA 0.009 2 0.11 NA 0.0015 0.0015 0.025 0.018
2015-05-12 "ПСЗ-3" NA 0.007 2 0.11 0.057 0.001 0.0018 0.02 0.0285
2015-05-12 "ПСЗ-6" 0.6 0.012 2 0.067 NA 0.0032 0.0015 0.025 0.0255
2015-05-12 "ПСЗ-7" NA 0.013 2 0.047 NA 0.001 0.002 0.028 0.026
2015-05-13 "ПСЗ-1" NA 0.006 2 0.04 NA 0.001 0.0015 0.032 0.015
2015-05-13 "ПСЗ-2" NA 0.012 2 0.08 NA 0.0015 0.0018 0.032 0.0155
2015-05-13 "ПСЗ-3" NA 0.008 3 0.085 0.047 0.001 0.001 0.028 0.019
2015-05-13 "ПСЗ-6" 1 0.011 2 0.09 NA 0.001 0.002 0.012 0.011
2015-05-13 "ПСЗ-7" NA 0.016 2 0.07 NA 0.0023 0.0023 0.032 0.024
2015-05-14 "ПСЗ-1" NA 0.012 2 0.04 NA 0.0025 0.0028 0.038 0.0075
2015-05-14 "ПСЗ-2" NA 0.013 2 0.05 NA 0.002 0.0012 0.02 0.009
2015-05-14 "ПСЗ-3" NA 0.011 2 0.057 0.04 0.001 8e-04 0.015 0.0075
2015-05-14 "ПСЗ-6" 0.4 0.016 2 0.057 NA 5e-04 0.0012 0.012 0.015
2015-05-14 "ПСЗ-7" NA 0.03 3 0.06 NA 0.002 0.0023 0.018 0.0115
2015-05-15 "ПСЗ-1" NA 0.021 2 0.025 NA 0.002 5e-04 0.022 0.012
2015-05-15 "ПСЗ-2" NA 0.01 2 0.02 NA 0.0012 0.001 0.018 0.0065
2015-05-15 "ПСЗ-3" NA 0.01 2 0.057 0.033 5e-04 0.001 0.012 0.003
2015-05-15 "ПСЗ-6" 0.6 0.015 3 0.053 NA 8e-04 5e-04 0.018 0.006
2015-05-15 "ПСЗ-7" NA 0.027 3 0.05 NA 0.0015 0.0015 0.022 0.0145
2015-05-16 "ПСЗ-1" NA 0.009 2 0.055 NA 8e-04 5e-04 0.02 0.009
2015-05-16 "ПСЗ-2" NA 0.012 2 0.07 NA 0.0012 0.002 0.025 0.008
2015-05-16 "ПСЗ-3" NA 0.013 2 0.067 0.04 2e-04 2e-04 0.02 0.01
2015-05-16 "ПСЗ-6" 0.75 0.01 2 0.053 NA 5e-04 0.0012 0.012 0.0105
2015-05-16 "ПСЗ-7" NA 0.014 2 0.06 NA 0.001 0.0012 0.018 0.0115
2015-05-18 "ПСЗ-1" NA 0.004 1 0.02 NA 3e-04 0.0013 0.017 0.0115
2015-05-18 "ПСЗ-2" NA 0.02 1 0.05 NA 7e-04 7e-04 0.007 0.016
2015-05-18 "ПСЗ-3" NA 0.008 2 0.095 0.05 0 0.0017 0.01 0.014
2015-05-18 "ПСЗ-6" 0.6 0.01 1 0.035 NA 0.001 0.0017 0.01 0.0095
2015-05-18 "ПСЗ-7" NA 0.006 2 0.02 NA 3e-04 0.001 0.01 0.018
2015-05-19 "ПСЗ-1" NA 0.011 2 0.07 NA 0.0028 0.0032 0.028 0.022
2015-05-19 "ПСЗ-2" NA 0.02 2 0.045 NA 0.0023 0.0035 0.015 0.021
2015-05-19 "ПСЗ-3" NA 0.008 3 0.103 0.067 0.0015 0.0025 0.012 0.007
2015-05-19 "ПСЗ-6" 0.55 0.009 2 0.053 NA 0.0012 0.0012 0.012 0.0085
2015-05-19 "ПСЗ-7" NA 0.013 3 0.027 NA 0.0023 0.0025 0.01 0.0165
2015-05-20 "ПСЗ-1" NA 0.003 2 0.06 NA 0.0028 0.0023 0.012 0.0035
2015-05-20 "ПСЗ-2" NA 0.006 2 0.095 NA 0.0025 0.0032 0.02 0.019
2015-05-20 "ПСЗ-3" NA 0.006 4 0.103 0.043 8e-04 0.0015 0.02 0.004
2015-05-20 "ПСЗ-6" 1.7 0.016 2 0.177 NA 0.001 0.0012 0.008 0.0215
2015-05-20 "ПСЗ-7" NA 0.016 2 0.117 NA 0.0025 0.0035 0.015 0.014
2015-05-21 "ПСЗ-1" NA 0.002 2 0.085 NA 8e-04 0.001 0.015 0.056
2015-05-21 "ПСЗ-2" NA 0.006 2 0.07 NA 5e-04 0.001 0.012 0.0115
2015-05-21 "ПСЗ-3" NA 0.006 1 0.097 0.063 2e-04 8e-04 0.01 0.0215
2015-05-21 "ПСЗ-6" 0.75 0.003 2 0.08 NA 5e-04 0.001 0.005 0.024
2015-05-21 "ПСЗ-7" NA 0.006 2 0.077 NA 0.0012 0.0012 0.008 0.0235
2015-05-22 "ПСЗ-1" NA 0.005 2 0.055 NA 0.001 0.0023 0.022 0.0135
2015-05-22 "ПСЗ-2" NA 0.004 2 0.075 NA 0.001 0.0023 0.012 0.0225
2015-05-22 "ПСЗ-3" NA 0.006 2 0.05 0.04 8e-04 0.0018 0.012 0.014
2015-05-22 "ПСЗ-6" 0.65 0.007 2 0.06 NA 5e-04 8e-04 0.005 0.0135
2015-05-22 "ПСЗ-7" NA 0.004 2 0.07 NA 0.0015 0.002 0.028 0.0175
2015-05-23 "ПСЗ-1" NA 0.006 2 0.055 NA 0.0015 0.0032 0.018 0.0145
2015-05-23 "ПСЗ-2" NA 0.009 2 0.08 NA 0.0018 0.0038 0.022 0.0185
2015-05-23 "ПСЗ-3" NA 0.014 2 0.053 0.037 0.0015 0.0018 0.015 0.0125
2015-05-23 "ПСЗ-6" 0.85 0.009 2 0.067 NA 0.001 0.0018 0.015 0.0145
2015-05-23 "ПСЗ-7" NA 0.012 2 0.073 NA 0.0023 0.0045 0.032 0.02
2015-05-25 "ПСЗ-1" NA 0.005 2 0.085 NA 7e-04 7e-04 0.017 0.0255
2015-05-25 "ПСЗ-2" NA 0.004 2 0.055 NA 0.001 0.0017 0.013 0.007
2015-05-25 "ПСЗ-3" NA 0.007 2 0.135 0.065 3e-04 0.0027 0.01 0.027
2015-05-25 "ПСЗ-6" 0.6 0.006 2 0.035 NA 3e-04 0.0017 0.01 0.03
2015-05-25 "ПСЗ-7" NA 0.007 2 0.12 NA 0.0013 0.0017 0.013 0.019
2015-05-26 "ПСЗ-1" NA 0.004 2 0.07 NA 0.0012 0.0018 0.015 0.032
2015-05-26 "ПСЗ-2" NA 0.092 2 0.075 NA 0.0015 0.0025 0.015 0.0075
2015-05-26 "ПСЗ-3" NA 0.008 2 0.063 0.057 8e-04 0.0015 0.008 0.02
2015-05-26 "ПСЗ-6" 0.6 0.008 2 0.05 NA 0.001 0.0018 0.01 0.0195
2015-05-26 "ПСЗ-7" NA 0.018 2 0.22 NA 0.0015 0.0025 0.015 0.045
2015-05-27 "ПСЗ-1" NA 0.002 2 0.07 NA 0.002 0.0025 0.02 0.0245
2015-05-27 "ПСЗ-2" NA 0.094 2 0.06 NA 0.0023 0.003 0.018 0.0225
2015-05-27 "ПСЗ-3" NA 0.003 2 0.12 0.057 8e-04 0.002 0.012 0.02
2015-05-27 "ПСЗ-6" 0.55 0.008 2 0.157 NA 0.001 0.0012 0.015 0.0195
2015-05-27 "ПСЗ-7" NA 0.004 2 0.053 NA 0.0023 0.0038 0.015 0.0365
2015-05-28 "ПСЗ-1" NA 0 2 0.025 NA 8e-04 0.0018 0.008 0.006
2015-05-28 "ПСЗ-2" NA 0.001 1 0.07 NA 0.0012 0.0012 0.008 0.0115
2015-05-28 "ПСЗ-3" NA 0.005 2 0.03 0.027 5e-04 5e-04 0.01 0.0145
2015-05-28 "ПСЗ-6" 0.2 0.001 2 0.22 NA 5e-04 0.001 0.012 0.016
2015-05-28 "ПСЗ-7" NA 0.001 2 0.097 NA 0.001 0.0023 0.015 0.005
2015-05-29 "ПСЗ-1" NA 0.002 1 0.04 NA 5e-04 0.001 0.01 0.007
2015-05-29 "ПСЗ-2" NA 0.001 2 0.035 NA 5e-04 0.001 0.012 0.007
2015-05-29 "ПСЗ-3" NA 0.001 1 0.04 0.027 5e-04 5e-04 0.012 0.006
2015-05-29 "ПСЗ-6" 0.05 0.002 2 0.057 NA 0.001 0.0015 0.015 0.01
2015-05-29 "ПСЗ-7" NA 0.003 2 0.06 NA 5e-04 0.001 0.018 0.008
2015-05-30 "ПСЗ-1" NA 0.006 2 0.045 NA 5e-04 0.0015 0.012 0.0095
2015-05-30 "ПСЗ-2" NA 0.007 2 0.06 NA 8e-04 0.0015 0.015 0.0075
2015-05-30 "ПСЗ-3" NA 0.006 1 0.03 0.02 5e-04 0.0012 0.008 0.0085
2015-05-30 "ПСЗ-6" 0.35 0.005 2 0.07 NA 5e-04 0.001 0.018 0.0105
2015-05-30 "ПСЗ-7" NA 0.007 1 0.063 NA 5e-04 0.0012 0.02 0.0055
2015-06-02 "ПСЗ-1" NA 0.011 2 0.12 NA 3e-04 0.001 0.007 0.038
2015-06-02 "ПСЗ-2" NA 0.013 2 0.08 NA 7e-04 0.001 0.013 0.029
2015-06-02 "ПСЗ-3" NA 0.012 2 0.035 0.04 3e-04 7e-04 0.007 0.0125
2015-06-02 "ПСЗ-6" 0.45 0.024 2 0.06 NA 0.001 0.0013 0.017 0.02
2015-06-02 "ПСЗ-7" NA 0.013 3 0.08 NA 7e-04 0.001 0.007 0.0215
2015-06-03 "ПСЗ-1" NA 0.005 3 0.105 NA 0.001 0.001 0.01 0.031
2015-06-03 "ПСЗ-2" NA 0.005 2 0.15 NA 0.001 0.001 0.012 0.0225
2015-06-03 "ПСЗ-3" NA 0.006 4 0.023 0.027 5e-04 5e-04 0.012 0.0165
2015-06-03 "ПСЗ-6" 0.3 0.006 3 0.09 NA 0.0012 0.0015 0.015 0.0095
2015-06-03 "ПСЗ-7" NA 0.004 2 0.057 NA 5e-04 0.001 0.005 0.057
2015-06-04 "ПСЗ-1" NA 0.007 2 0.08 NA 8e-04 5e-04 0.012 0.0065
2015-06-04 "ПСЗ-2" NA 0.01 2 0.065 NA 8e-04 0.001 0.01 0.0205
2015-06-04 "ПСЗ-3" NA 0.009 4 0.033 0.02 5e-04 5e-04 0.012 0.007
2015-06-04 "ПСЗ-6" 0.35 0.01 3 0.06 NA 0.0012 0.0015 0.015 0.016
2015-06-04 "ПСЗ-7" NA 0.019 2 0.033 NA 8e-04 0.001 0.012 0.047
2015-06-05 "ПСЗ-1" NA 0.007 2 0.04 NA 8e-04 8e-04 0.015 0.0095
2015-06-05 "ПСЗ-2" NA 0.004 2 0.045 NA 8e-04 0.0012 0.012 0.019
2015-06-05 "ПСЗ-3" NA 0.007 2 0.043 0.033 5e-04 0.001 0.012 0.0245
2015-06-05 "ПСЗ-6" 0.15 0.008 3 0.063 NA 0.001 0.0018 0.022 0.0235
2015-06-05 "ПСЗ-7" NA 0.01 2 0.037 NA 0.001 0.0023 0.01 0.014
2015-06-06 "ПСЗ-1" NA 0.005 2 0.06 NA 8e-04 0.0012 0.02 0.0145
2015-06-06 "ПСЗ-2" NA 0.007 2 0.07 NA 5e-04 0.001 0.012 0.014
2015-06-06 "ПСЗ-3" NA 0.009 2 0.067 0.04 5e-04 0.001 0.008 0.0135
2015-06-06 "ПСЗ-6" 0.15 0.014 2 0.073 NA 0.0015 0.0015 0.02 0.0225
2015-06-06 "ПСЗ-7" NA 0.017 2 0.05 NA 8e-04 0.0018 0.01 0.0195
2015-06-08 "ПСЗ-1" NA 0.006 2 0.07 NA 0.0013 0.0037 0.017 0.0405
2015-06-08 "ПСЗ-2" NA 0.012 1 0.085 NA 0.0013 0.003 0.017 0.0245
2015-06-08 "ПСЗ-3" NA 0.007 2 0.055 0.025 0.001 0.002 0.01 0.0075
2015-06-08 "ПСЗ-6" 0.15 0.006 2 0.055 NA 0.0013 0.0033 0.017 0.0235
2015-06-08 "ПСЗ-7" NA 0.004 2 0.045 NA 0.0023 0.004 0.027 0.052
2015-06-09 "ПСЗ-1" NA 0.006 2 0.065 NA 0.001 0.001 0.015 0.0205
2015-06-09 "ПСЗ-2" NA 0.012 2 0.06 NA 0.0012 0.0018 0.015 0.031
2015-06-09 "ПСЗ-3" NA 0.01 3 0.087 0.033 8e-04 0.0012 0.018 0.023
2015-06-09 "ПСЗ-6" 0.5 0.013 2 0.06 NA 0.0018 0.002 0.012 0.009
2015-06-09 "ПСЗ-7" NA 0.004 3 0.103 NA 5e-04 0.0012 0.01 0.009
2015-06-10 "ПСЗ-1" NA 0.002 2 0.05 NA 0.0012 8e-04 0.012 0.012
2015-06-10 "ПСЗ-2" NA 0.004 2 0.035 NA 0.0012 8e-04 0.015 0.019
2015-06-10 "ПСЗ-3" NA 0.008 4 0.073 0.04 0.001 0.0012 0.008 0.0105
2015-06-10 "ПСЗ-6" 0.75 0.01 3 0.13 NA 0.0018 0.0015 0.012 0.017
2015-06-10 "ПСЗ-7" NA 0.006 2 0.11 NA 5e-04 0.001 0.01 0.014
2015-06-11 "ПСЗ-1" NA 0.014 2 0.045 NA 8e-04 5e-04 0.018 0.0095
2015-06-11 "ПСЗ-2" NA 0.01 2 0.065 NA 0.0012 0.001 0.015 0.0185
2015-06-11 "ПСЗ-3" NA 0.016 2 0.05 0.03 5e-04 5e-04 0.015 0.014
2015-06-11 "ПСЗ-6" 0.25 0.01 2 0.023 NA 0.0018 0.002 0.01 0.011
2015-06-11 "ПСЗ-7" NA 0.012 2 0.043 NA 0.0012 0.003 0.025 0.0075
2015-06-12 "ПСЗ-1" NA 0.006 2 0.045 NA 2e-04 0.001 0.018 0.0075
2015-06-12 "ПСЗ-2" NA 0.008 2 0.045 NA 5e-04 8e-04 0.022 0.008
2015-06-12 "ПСЗ-3" NA 0.005 2 0.04 0.023 8e-04 0.0012 0.012 0.0155
2015-06-12 "ПСЗ-6" 0.5 0.024 2 0.047 NA 0.0025 0.003 0.032 0.016
2015-06-12 "ПСЗ-7" NA 0.01 2 0.053 NA 0.0012 0.0012 0.022 0.009
2015-06-13 "ПСЗ-1" NA 0.006 2 0.05 NA 0.002 0.0028 0.04 0.013
2015-06-13 "ПСЗ-2" NA 0.006 2 0.035 NA 0.0032 0.0025 0.04 0.013
2015-06-13 "ПСЗ-3" NA 0.007 2 0.04 0.017 0.0023 0.0015 0.028 0.017
2015-06-13 "ПСЗ-6" 0.6 0.017 2 0.053 NA 0.0018 0.0018 0.04 0.0195
2015-06-13 "ПСЗ-7" NA 0.008 3 0.04 NA 0.0025 0.0018 0.04 0.0205
2015-06-15 "ПСЗ-1" NA NA 3 NA NA NA NA NA NA
2015-06-15 "ПСЗ-2" NA 0.018 2 0.04 NA 0.0017 0.0023 0.023 0.011
2015-06-15 "ПСЗ-3" NA 0.012 2 0.1 0.03 0.0017 0.0013 0.017 0.0195
2015-06-15 "ПСЗ-6" 0.95 0.008 4 0.06 NA 0.0017 0.0023 0.017 0.0445
2015-06-15 "ПСЗ-7" NA 0.017 2 0.05 NA 0.0047 0.0043 0.023 0.015
2015-06-16 "ПСЗ-1" NA NA 2 NA NA NA NA NA NA
2015-06-16 "ПСЗ-2" NA 0.011 3 0.035 NA 0.004 0.0028 0.015 0.0485
2015-06-16 "ПСЗ-3" NA 0.006 4 0.133 0.067 0.002 0.0015 0.022 0.014
2015-06-16 "ПСЗ-6" 0.55 0.006 2 0.077 NA 0.0012 0.001 0.02 0.0445
2015-06-16 "ПСЗ-7" NA 0.01 3 0.06 NA 0.004 0.0028 0.018 0.019
2015-06-17 "ПСЗ-1" NA NA 2 NA NA NA NA NA NA
2015-06-17 "ПСЗ-2" NA 0.01 2 0.05 NA 0.001 0.0015 0.015 0.021
2015-06-17 "ПСЗ-3" NA 0.008 2 0.053 0.033 0.001 0.0015 0.01 0.0145
2015-06-17 "ПСЗ-6" 0.5 0.009 2 0.067 NA 0.0023 0.0025 0.012 0.012
2015-06-17 "ПСЗ-7" NA 0.015 2 0.073 NA 0.001 0.002 0.012 0.0115
2015-06-18 "ПСЗ-1" NA NA 2 NA NA NA NA NA NA
2015-06-18 "ПСЗ-2" NA 0.002 2 0.02 NA 2e-04 8e-04 0.01 0.028
2015-06-18 "ПСЗ-3" NA 0.004 2 0.027 0.017 5e-04 5e-04 0.015 0.007
2015-06-18 "ПСЗ-6" 0.85 0.019 2 0.043 NA 0.002 0.002 0.02 0.009
2015-06-18 "ПСЗ-7" NA 0.008 2 0.04 NA 5e-04 0.001 0.015 0.004
2015-06-19 "ПСЗ-1" NA NA 2 NA NA NA NA NA NA
2015-06-19 "ПСЗ-2" NA 0.007 2 0.075 NA 0.002 0.0012 0.015 0.0165
2015-06-19 "ПСЗ-3" NA 0.006 2 0.05 0.033 0.0015 0.0018 0.018 0.012
2015-06-19 "ПСЗ-6" 0.85 0.014 2 0.053 NA 0.002 0.0025 0.03 0.011
2015-06-19 "ПСЗ-7" NA 0.008 2 0.053 NA 8e-04 0.001 0.018 0.01
2015-06-20 "ПСЗ-1" NA NA 2 NA NA NA NA NA NA
2015-06-20 "ПСЗ-2" NA 0.01 3 0.055 NA 0.0018 0.001 0.02 0.0145
2015-06-20 "ПСЗ-3" NA 0.011 2 0.06 0.033 0.0012 5e-04 0.018 0.013
2015-06-20 "ПСЗ-6" 1.15 0.008 2 0.063 NA 0.0028 0.003 0.03 0.0175
2015-06-20 "ПСЗ-7" NA 0.011 3 0.057 NA 0.0018 0.0012 0.015 0.0095
2015-06-22 "ПСЗ-1" NA NA 1 NA NA NA NA NA NA
2015-06-22 "ПСЗ-2" NA 0.008 2 0.03 NA 3e-04 7e-04 0.017 0.019
2015-06-22 "ПСЗ-3" NA 0.008 2 0.03 0.015 0.001 7e-04 0.017 0.0245
2015-06-22 "ПСЗ-6" 2 0.02 2 0.055 NA 0.0037 0.0027 0.023 0.014
2015-06-22 "ПСЗ-7" NA 0.004 2 0.015 NA 0.002 0.0017 0.017 0.0085
2015-06-23 "ПСЗ-1" NA NA 2 NA NA NA NA NA NA
2015-06-23 "ПСЗ-2" NA 0.007 2 0.015 NA 5e-04 2e-04 0.022 0.0195
2015-06-23 "ПСЗ-3" NA 0.005 2 0.033 0.017 8e-04 5e-04 0.012 0.0165
2015-06-23 "ПСЗ-6" 1.8 0.019 2 0.043 NA 0.0015 0.0023 0.032 0.036
2015-06-23 "ПСЗ-7" NA 0.01 2 0.017 NA 0.0012 0.0012 0.012 0.019
2015-06-24 "ПСЗ-1" NA NA 2 NA NA NA NA NA NA
2015-06-24 "ПСЗ-2" NA 0.008 2 0.03 NA 5e-04 0.0015 0.012 0.012
2015-06-24 "ПСЗ-3" NA 0.006 2 0.04 0.02 8e-04 8e-04 0.012 0.016
2015-06-24 "ПСЗ-6" 1.85 0.016 2 0.05 NA 0.002 0.0032 0.022 0.0065
2015-06-24 "ПСЗ-7" NA 0.008 2 0.023 NA 5e-04 0.0015 0.012 0.0095
2015-06-25 "ПСЗ-1" NA 0.008 2 0.045 NA 8e-04 0.0015 0.012 0.008
2015-06-25 "ПСЗ-2" NA 0.016 2 0.02 NA 0.0012 0.001 0.01 0.0145
2015-06-25 "ПСЗ-3" NA 0.009 2 0.027 0.017 5e-04 5e-04 0.018 0.0095
2015-06-25 "ПСЗ-6" 2.05 0.015 2 0.023 NA 0.0018 0.0018 0.03 0.0035
2015-06-25 "ПСЗ-7" NA 0.011 2 0.03 NA 0.001 8e-04 0.015 0.005
2015-06-26 "ПСЗ-1" NA 0.004 2 0.025 NA 5e-04 0.0012 0.015 0.007
2015-06-26 "ПСЗ-2" NA 0.093 3 0.015 NA 0.0015 8e-04 0.018 0.0045
2015-06-26 "ПСЗ-3" NA 0.006 2 0.013 0 0.0012 0.001 0.015 0.007
2015-06-26 "ПСЗ-6" 0.05 0.005 3 0.033 NA 0.0023 0.0048 0.025 0.008
2015-06-26 "ПСЗ-7" NA 0.004 3 0.013 NA 8e-04 0.0012 0.008 0.0135
2015-06-27 "ПСЗ-1" NA 0 1 0.04 NA 3e-04 7e-04 0.007 0.002
2015-06-27 "ПСЗ-2" NA 0.136 1 0.05 NA 3e-04 0 0.003 0.001
2015-06-27 "ПСЗ-3" NA 0 1 0.035 0.01 0 3e-04 0.003 0.003
2015-06-27 "ПСЗ-6" 0 0 1 0.01 NA 7e-04 7e-04 0.007 0.004
2015-06-27 "ПСЗ-7" NA 0.001 1 0.015 NA 0 0 0.003 0.002
2015-06-30 "ПСЗ-1" NA 0.004 2 0.035 NA 7e-04 3e-04 0.01 0.001
2015-06-30 "ПСЗ-2" NA 0.006 2 0.045 NA 7e-04 0.0013 0.007 0.004
2015-06-30 "ПСЗ-3" NA 0.002 2 0.02 0 0.0013 0.0013 0.013 0.003
2015-06-30 "ПСЗ-6" 0.05 0.005 2 0.04 NA 0.002 0.003 0.017 0.0055
2015-06-30 "ПСЗ-7" NA 0.006 2 0.02 NA 0.001 7e-04 0.007 0.002
2015-07-01 "ПСЗ-1" NA 0.007 2 0.04 NA 8e-04 8e-04 0.01 0.003
2015-07-01 "ПСЗ-2" NA 0.009 2 0.035 NA 0.001 8e-04 0.015 0.0065
2015-07-01 "ПСЗ-3" NA 0.007 2 0.033 0.017 5e-04 8e-04 0.018 0.01
2015-07-01 "ПСЗ-6" 0.65 0.01 2 0.053 NA 0.0023 0.002 0.035 0.016
2015-07-01 "ПСЗ-7" NA 0.004 2 0.023 NA 0.001 5e-04 0.015 0.0075
2015-07-02 "ПСЗ-1" NA 0.006 2 0.065 NA 8e-04 0.001 0.02 0.007
2015-07-02 "ПСЗ-2" NA 0.005 3 0.065 NA 0.0018 0.002 0.02 0.007
2015-07-02 "ПСЗ-3" NA 0.004 3 0.067 0.037 0.0012 0.0018 0.018 0.009
2015-07-02 "ПСЗ-6" 0.75 0.014 2 0.103 NA 0.0032 0.0032 0.055 0.0215
2015-07-02 "ПСЗ-7" NA 0.008 4 0.053 NA 8e-04 0.001 0.018 0.0105
2015-07-03 "ПСЗ-1" NA 0.009 2 0.045 NA 8e-04 0.0015 0.02 0.008
2015-07-03 "ПСЗ-2" NA 0.008 2 0.065 NA 0.0012 0.002 0.02 0.0085
2015-07-03 "ПСЗ-3" NA 0.009 3 0.07 0.033 0.0015 0.0015 0.02 0.005
2015-07-03 "ПСЗ-6" 0.65 0.026 4 0.097 NA 0.0032 0.0032 0.038 0.0175
2015-07-03 "ПСЗ-7" NA 0.007 6 0.04 NA 0.001 0.0015 0.018 0.005
2015-07-04 "ПСЗ-1" NA 0.008 2 0.075 NA 0.001 0.0012 0.025 0.015
2015-07-04 "ПСЗ-2" NA 0.012 3 0.085 NA 0.0015 0.0012 0.025 0.014
2015-07-04 "ПСЗ-3" NA 0.011 4 0.12 0.06 0.0012 0.0018 0.025 0.0175
2015-07-04 "ПСЗ-6" 0.85 0.013 4 0.133 NA 0.0028 0.0032 0.028 0.022
2015-07-04 "ПСЗ-7" NA 0.008 3 0.07 NA 8e-04 0.0015 0.015 0.0115
2015-07-06 "ПСЗ-1" NA 0.008 2 0.04 NA 7e-04 0.001 0.017 0.005
2015-07-06 "ПСЗ-2" NA 0.008 2 0.065 NA 0.002 7e-04 0.017 0.009
2015-07-06 "ПСЗ-3" NA 0.008 2 0.065 0.04 0.0017 7e-04 0.027 0.006
2015-07-06 "ПСЗ-6" 0.75 0.01 2 0.065 NA 0.0023 0.002 0.017 0.0045
2015-07-06 "ПСЗ-7" NA 0.007 3 0.065 NA 0.001 0.002 0.033 0.008
2015-07-07 "ПСЗ-1" NA 0.009 2 0.08 NA 0.0015 0.0015 0.022 0.0185
2015-07-07 "ПСЗ-2" NA 0.008 2 0.115 NA 0.002 0.0028 0.052 0.0175
2015-07-07 "ПСЗ-3" NA 0.011 2 0.087 0.043 0.0012 0.0015 0.025 0.013
2015-07-07 "ПСЗ-6" 1.05 0.018 2 0.09 NA 0.0012 0.002 0.038 0.0255
2015-07-07 "ПСЗ-7" NA 0.01 4 0.083 NA 0.003 0.0032 0.038 0.011
2015-07-08 "ПСЗ-1" NA 0.007 2 0.085 NA 0.0015 0.003 0.028 0.012
2015-07-08 "ПСЗ-2" NA 0.012 4 0.1 NA 0.0038 0.0038 0.03 0.031
2015-07-08 "ПСЗ-3" NA 0.007 3 0.07 0.043 0.0015 0.0015 0.025 0.0145
2015-07-08 "ПСЗ-6" 1.45 0.015 2 0.087 NA 0.0018 0.0012 0.042 0.02
2015-07-08 "ПСЗ-7" NA 0.013 3 0.077 NA 0.0023 0.003 0.03 0.014
2015-07-09 "ПСЗ-1" NA 0.005 2 0.11 NA 0.0018 0.002 0.035 0.0205
2015-07-09 "ПСЗ-2" NA 0.006 4 0.15 NA 0.0025 0.0025 0.04 0.0315
2015-07-09 "ПСЗ-3" NA 0.004 3 0.087 0.06 8e-04 0.0015 0.02 0.0155
2015-07-09 "ПСЗ-6" 0.7 0.006 3 0.073 NA 8e-04 0.0012 0.022 0.0195
2015-07-09 "ПСЗ-7" NA 0.011 5 0.13 NA 0.0025 0.0038 0.048 0.0185
2015-07-10 "ПСЗ-1" NA 0.004 2 0.045 NA 0.0012 0.0012 0.018 0.019
2015-07-10 "ПСЗ-2" NA 0.009 2 0.055 NA 8e-04 0.002 0.022 0.012
2015-07-10 "ПСЗ-3" NA 0.006 2 0.047 0.027 5e-04 0.001 0.032 0.012
2015-07-10 "ПСЗ-6" 0.55 0.01 2 0.063 NA 0.0015 0.002 0.022 0.008
2015-07-10 "ПСЗ-7" NA 0.005 2 0.047 NA 0.001 8e-04 0.022 0.0145
2015-07-11 "ПСЗ-1" NA 0.005 2 0.06 NA 8e-04 5e-04 0.012 0.0065
2015-07-11 "ПСЗ-2" NA 0.008 2 0.07 NA 8e-04 8e-04 0.012 0.007
2015-07-11 "ПСЗ-3" NA 0.009 2 0.06 0.037 2e-04 0.001 0.008 0.008
2015-07-11 "ПСЗ-6" 0.35 0.013 2 0.093 NA 0.0018 0.0018 0.018 0.015
2015-07-11 "ПСЗ-7" NA 0.006 2 0.05 NA 0.0012 8e-04 0.015 0.007
2015-07-13 "ПСЗ-1" NA 0.006 2 0.085 NA 7e-04 3e-04 0.013 0.008
