"date" "nazva" "TSP" "SO2" "CO" "NO2" "NO" "H2S" "C6H6O" "NH3" "CH2O"
2014-01-25 "ПСЗ-7" NA 0.025 1 0.023 NA 2e-04 2e-04 0.002 5e-04
2014-01-27 "ПСЗ-1" NA 0.016 1 0.03 NA 0 3e-04 0.01 5e-04
2014-01-27 "ПСЗ-2" NA 0.018 1 0.015 NA 0 0 0.007 0.001
2014-01-27 "ПСЗ-3" NA 0.024 2 0.025 0.005 0 3e-04 0 0.001
2014-01-27 "ПСЗ-6" 0.45 0.032 1 0.045 NA 7e-04 0.0017 0.013 0.003
2014-01-27 "ПСЗ-7" NA 0.02 1 0.04 NA 0 3e-04 0.003 0
2014-01-28 "ПСЗ-1" NA 0.02 1 0.015 NA 2e-04 2e-04 0.01 0.001
2014-01-28 "ПСЗ-2" NA 0.025 2 0.01 NA 5e-04 0 0.005 0.0025
2014-01-28 "ПСЗ-3" NA 0.027 1 0.057 0.023 0 0 0.01 0.002
2014-01-28 "ПСЗ-6" 0.1 0.028 1 0.04 NA 0.0018 0.0015 0.025 0.0035
2014-01-28 "ПСЗ-7" NA 0.018 1 0.037 NA 0 5e-04 0.005 5e-04
2014-01-29 "ПСЗ-1" NA 0.026 2 0.025 NA 2e-04 5e-04 0.008 0.0015
2014-01-29 "ПСЗ-2" NA 0.032 2 0.02 NA 5e-04 2e-04 0.018 0.0015
2014-01-29 "ПСЗ-3" NA 0.025 2 0.027 0.013 0 0 0.002 0.002
2014-01-29 "ПСЗ-6" 0.25 0.04 2 0.043 NA 0.0025 0.003 0.062 0.0055
2014-01-29 "ПСЗ-7" NA 0.025 1 0.013 NA 0 2e-04 0.005 0.002
2014-01-30 "ПСЗ-1" NA 0.026 2 0.015 NA 5e-04 0 0.01 0.0015
2014-01-30 "ПСЗ-2" NA 0.036 2 0.025 NA 5e-04 8e-04 0.015 0.0015
2014-01-30 "ПСЗ-3" NA 0.029 2 0.017 0.003 5e-04 0 0.01 0.003
2014-01-30 "ПСЗ-6" 0.4 0.068 1 0.053 NA 0.0028 0.003 0.04 0.0055
2014-01-30 "ПСЗ-7" NA 0.035 1 0.013 NA 5e-04 2e-04 0.008 0.002
2014-02-13 "ПСЗ-1" NA 0.028 3 0.055 NA 0.0023 0.0018 0.05 0.008
2014-02-13 "ПСЗ-2" NA 0.025 4 0.065 NA 0.0023 0.002 0.05 0.0055
2014-02-13 "ПСЗ-3" NA 0.021 2 0.037 0.02 0.002 0.0015 0.035 0.004
2014-02-13 "ПСЗ-6" 0.4 0.02 3 0.04 NA 5e-04 8e-04 0.025 0.008
2014-02-13 "ПСЗ-7" NA 0.021 2 0.033 NA 0.0015 0.0012 0.025 0.005
2014-02-14 "ПСЗ-1" NA 0.009 2 0.085 NA 0.0028 0.0032 0.088 0.013
2014-02-14 "ПСЗ-2" NA 0.012 2 0.105 NA 0.0038 0.0038 0.08 0.013
2014-02-14 "ПСЗ-3" NA 0.006 2 0.07 0.043 0.0015 0.0015 0.042 0.006
2014-02-14 "ПСЗ-6" 0.25 0.005 3 0.063 NA 0.0015 0.001 0.042 0.0045
2014-02-14 "ПСЗ-7" NA 0.011 4 0.13 NA 0.0042 0.0055 0.11 0.016
2014-02-15 "ПСЗ-1" NA 0.019 1 0.035 NA 0.0012 5e-04 0.025 0.003
2014-02-15 "ПСЗ-2" NA 0.02 2 0.04 NA 0.0018 0.001 0.045 0.005
2014-02-15 "ПСЗ-3" NA 0.022 2 0.05 0.037 8e-04 5e-04 0.02 0.005
2014-02-15 "ПСЗ-6" 0.45 0.021 2 0.05 NA 0.0023 0.0018 0.025 0.0095
2014-02-15 "ПСЗ-7" NA 0.02 1 0.033 NA 0.0015 0.0018 0.015 0.0025
2014-02-17 "ПСЗ-1" NA 0.022 2 0.05 NA 7e-04 7e-04 0.027 0.0035
2014-02-17 "ПСЗ-2" NA 0.023 2 0.035 NA 0.0013 0.001 0.027 0.005
2014-02-17 "ПСЗ-3" NA 0.028 2 0.03 0.02 7e-04 3e-04 0.023 0.002
2014-02-17 "ПСЗ-6" 0.25 0.022 2 0.055 NA 0 0 0.013 0.003
2014-02-17 "ПСЗ-7" NA 0.037 2 0.04 NA 0.0023 0.0027 0.037 0.007
2014-02-18 "ПСЗ-1" NA 0.018 1 0.045 NA 8e-04 0 0.012 0.003
2014-02-18 "ПСЗ-2" NA 0.022 2 0.06 NA 5e-04 2e-04 0.015 0.0055
2014-02-18 "ПСЗ-3" NA 0.018 2 0.023 0.013 2e-04 0 0.018 0.004
2014-02-18 "ПСЗ-6" 0.3 0.016 2 0.05 NA 5e-04 5e-04 0.015 0.003
2014-02-18 "ПСЗ-7" NA 0.037 2 0.053 NA 0.0012 0.001 0.02 0.006
2014-02-19 "ПСЗ-1" NA 0.026 2 0.035 NA 8e-04 2e-04 0.022 0.0045
2014-02-19 "ПСЗ-2" NA 0.028 2 0.035 NA 0.0015 0.0015 0.032 0.0035
2014-02-19 "ПСЗ-3" NA 0.02 1 0.017 0.003 5e-04 0 0.025 0.0045
2014-02-19 "ПСЗ-6" 0.15 0.025 2 0.047 NA 8e-04 2e-04 0.015 0.004
2014-02-19 "ПСЗ-7" NA 0.029 2 0.053 NA 0.002 0.0023 0.035 0.0055
2014-02-20 "ПСЗ-1" NA 0.029 2 0.025 NA 8e-04 8e-04 0.025 0.0045
2014-02-20 "ПСЗ-2" NA 0.037 2 0.035 NA 0.0018 0.0012 0.032 0.0035
2014-02-20 "ПСЗ-3" NA 0.028 2 0.023 0.017 5e-04 0 0.025 0.003
2014-02-20 "ПСЗ-6" 0.15 0.023 2 0.033 NA 8e-04 2e-04 0.018 0.0015
2014-02-20 "ПСЗ-7" NA 0.028 2 0.047 NA 0.0012 0.0023 0.045 0.0065
2014-02-21 "ПСЗ-1" NA 0.019 2 0.035 NA 5e-04 2e-04 0.022 0.0015
